section,number,den,eng,audio1,audio2
6,1,"Dena'inaq' qinax dit/du?","Do you speak the Dena'ina language?",cl05-ge.mp3,cl05-ab.mp3
6,2a,"(Aa',) jitshla.","Yes, a little.",cl06-ge.mp3,cl06-ab.mp3
6,2b,"Jitshla q'u qit'ayni'esen.","I know a little bit (Dena'ina).",cl07-ge.mp3,
6,3a,"Dena'ina dudeldih shit.","I'm learning the Dena'ina language.",cl01-ge.mp3,
6,3b,"Dena'ina(q') duhdeldih shit.","I'm learning the Dena'ina language.",cl02-ge.mp3,cl02-ab.mp3
6,3c,"Dena'ina duhdeldih shit.","I am/you guys are learning the Dena'ina language.",cl04-ge.mp3,
6,4a,"Dena'ina dundełdih shit.","I'm teaching you the Dena'ina language.",cl03-ge.mp3,
6,4b,"Nduhdełdih shit.","I'm teaching you (Dena'ina).",cl08-ge.mp3,
6,5,"Niłduch'hdeldih shit.","We're teaching each other (Dena'ina).",cl08-ab.mp3,
6,6,"Shq'ayna gun Dena'ina dudghełdin.","I taught my children Dena'ina.",cl09-ge.mp3,
6,7a,"Dena'inaq' sheł qinax.","Speak to me in the Dena'ina language.",cl11-ge.mp3,
6,7b,"Ugha sha'eł qinax sha Dena'inaq'.","Come on, speak Dena'ina to me.",cl11-ab.mp3,
6,8a,"Dena'inaq' shugu qeshnax.","I <i>am</i> speaking in the Dena'ina language.",cl12-ge.mp3,
6,8b,"Nch'u gheli k'i qighishin nq'ayidnulzix Dena'inaq' qinax q'u.","You don't really understand what you're saying in Dena'ina.",cl12-ab.mp3,
6,9,"Ugha, sheł dini!","Say it to me/Say it again to me!",cl13-ge.mp3,
6,10,"Kisht'a sheł dini tsa'i.","Tell me some more!",cl13-ab.mp3,
6,11a,"Ugha Dena'ina kisht'a sheł qinax!","Say more to me in Dena'ina!",cl14-ge.mp3,
6,11b,"Dena'inaq' shegh qinax!","Talk to me in Dena'ina!",cl14-ab.mp3,
6,12,"Dena'inaq' sht'a qinax!","Say it in the Dena'ina language!",cl15-ge.mp3,
6,13,"Ugha, kisht'a Dena'inaq' k'qinax!","Say it again/say some more in the Dena'ina language!",cl16-ge.mp3,
6,14a,"Gasht'anaq' qinax!","Say it in English!",cl17-ge.mp3,
6,14b,"Gasht'ana kisht'a qinax tsa'i!","Say it again in English!",cl17-ab.mp3,
6,15a,"Q'u neł dgheshni.","I already told you.",cl19-ge.mp3,
6,15b,"Q'udida neł dgheshni ha'i.","I already told you.",cl19-ab.mp3,
6,16,"Nda'ich' dughu tdini da/dit?","What are you saying?",cl21-ge.mp3,cl21-ab.mp3
6,17,"Nda'ich' dughu dehni da?","What are you guys saying?",cl18-ge.mp3,cl18-ab.mp3
6,18,"Nch'u qadashdestnik.","He doesn't hear/understand me.",cl22-ge.mp3,
6,19,"Qadashdinix dit?","Do you hear/understand me?",cl25-ge.mp3,
6,20,"Nch'u qadandeshtnik.","I don't hear/understand you.",cl23-ge.mp3,
6,21,"Nch'u nq'aynidelzex.","I don't understand you.",cl24-ge.mp3,
6,22,"Nch'u gheli shq'aynidilzex.","He doesn't understand me at all.",cl26-ab.mp3,
6,23,"Nt'i k'i ghu nq'aynidelzex.","Well, I can understand you.",cl27-ab.mp3,
6,24,"Nch'u yeq'aynidelzex.","He doesn't understand her.",cl28-ab.mp3,
6,25,"Nzaq' veł qinisen.","Keep your mouth shut.",cl30-ge.mp3,
6,26,"Shi k'i szaq'.","I'll keep my mouth shut.",cl31-ge.mp3,
6,27,"Hdudichit.","Be quiet.",cl30-ab.mp3,
6,28,"Qadashdinex.","Listen to me.",cl32-ge.mp3,cl32-ab.mp3
6,29,"Qadashdinex neł/nch' htgheshnax ghu.","Listen to me when I'm talking to you.",cl20-ge.mp3,cl20-ab.mp3
